ah{w,n} 596
s{v,ih} 44
s{w,eh} 4
s{w,ih} 7
th{iy,r} 9
th{n,r} 106
th{ow,r} 42
th{r,r} 31
th{s,r} 41
th{t,ey} 7
th{t,f} 8
th{t,ow} 3
th{t,r} 53
th{t,s} 6
th{t,th} 12
th{t,t} 4
th{t,uw} 86
th{t,w} 16
th{t,z} 5
th{th,th} 28
th{uw,r} 58
th{v,r} 43
th{w,r} 4
t{ey,ey} 8
t{ey,f} 92
t{ey,n} 4
t{ey,ow} 20
t{ey,s} 110
t{ey,th} 78
t{ey,t} 57
t{ey,uw} 38
t{ey,w} 2
t{ey,z} 48
t{iy,uw} 37
t{n,uw} 103
t{ow,uw} 48
t{r,f} 2
t{r,s} 1
t{r,th} 122
t{r,uw} 27
t{r,z} 1
t{s,uw} 47
t{t,t} 141
t{th,uw} 4
t{uw,uw} 19
t{v,uw} 48
t{w,uw} 1
uw{t,ey} 39
uw{t,f} 98
uw{t,n} 7
uw{t,ow} 21
uw{t,s} 82
uw{t,th} 51
uw{t,t} 12
uw{t,uw} 37
uw{t,v} 44
uw{t,w} 3
uw{t,z} 47
uw{th,ey} 4
uw{th,f} 18
uw{th,ow} 19
uw{th,s} 12
uw{th,th} 7
uw{th,t} 7
uw{th,uw} 4
uw{th,v} 6
uw{th,w} 1
uw{th,z} 8
uw{uw,uw} 100
v{ay,ey} 54
v{ay,f} 64
v{ay,n} 9
v{ay,ow} 26
v{ay,s} 88
v{ay,th} 43
v{ay,t} 48
v{ay,v} 39
v{ay,w} 32
v{ay,z} 55
v{eh,ax} 483
v{uw,w} 50
v{v,v} 105
w{iy,ah} 3
w{n,ah} 2
w{ow,ah} 563
w{r,ah} 1
w{s,ah} 3
w{t,ah} 2
w{th,ah} 16
w{uw,ah} 4
w{v,ey} 5
w{v,f} 14
w{v,ow} 2
w{v,s} 11
w{v,th} 4
w{v,t} 1
w{v,w} 4
w{v,z} 41
w{w,w} 11
z{iy,ih} 49
z{n,ih} 125
z{ow,ih} 37
z{r,ih} 29
z{s,ih} 59
z{t,ih} 49
z{th,ih} 5
z{uw,ih} 55
z{v,ih} 55
z{w,f} 1
z{w,ih} 3
z{w,ow} 1
{,} 407
